"|"	"|__appear"	"|__win_count"	"|__win_rate"
"1"	"35"	"29"	"0.8285714285714286"
"2"	"10"	"0"	"0"
"3"	"19"	"0"	"0"
"4"	"38"	"18"	"0.5"
"5"	"54"	"23"	"0.42592592592592593"
"6"	"16"	"16"	"1"
"7"	"51"	"38"	"0.7450980392156863"
"8"	"27"	"9"	"0.3333333333333333"
"9"	"23"	"13"	"0.5909090909090909"
"10"	"14"	"14"	"1"
"11"	"66"	"23"	"0.3484848484848485"
"12"	"43"	"15"	"0.35714285714285715"
"13"	"32"	"15"	"0.5"
"14"	"23"	"13"	"0.5909090909090909"
"15"	"41"	"38"	"0.926829268292683"
"16"	"81"	"52"	"0.65"
"17"	"50"	"6"	"0.13043478260869565"
"18"	"109"	"66"	"0.6055045871559633"
"19"	"35"	"28"	"0.8"
"20"	"16"	"0"	"0"
"21"	"72"	"39"	"0.5571428571428572"
"22"	"56"	"32"	"0.5714285714285714"
"23"	"28"	"25"	"0.8928571428571429"
"24"	"104"	"38"	"0.36893203883495146"
"25"	"10"	"0"	"0"
"26"	"12"	"2"	"0.18181818181818182"
"27"	"24"	"24"	"1"
"28"	"28"	"14"	"0.5185185185185185"
"29"	"110"	"50"	"0.45454545454545453"
"30"	"45"	"20"	"0.45454545454545453"
"31"	"82"	"18"	"0.23376623376623376"
"32"	"5"	"0"	"0"
"33"	"29"	"5"	"0.1724137931034483"
"34"	"31"	"30"	"0.967741935483871"
"35"	"2"	"2"	"1"
"36"	"20"	"18"	"0.9"
"37"	"79"	"51"	"0.6623376623376623"
"38"	"20"	"15"	"0.75"
"39"	"32"	"2"	"0.06896551724137931"
"40"	"94"	"39"	"0.4148936170212766"
"41"	"67"	"65"	"0.9701492537313433"
"42"	"18"	"16"	"0.8888888888888888"
"43"	"34"	"14"	"0.4375"
"44"	"37"	"23"	"0.6216216216216216"
"45"	"29"	"24"	"0.8571428571428571"
"48"	"8"	"1"	"0.14285714285714285"
"50"	"17"	"3"	"0.1875"
"51"	"59"	"32"	"0.5423728813559322"
"53"	"67"	"29"	"0.43283582089552236"
"54"	"18"	"11"	"0.6111111111111112"
"55"	"57"	"16"	"0.3018867924528302"
"56"	"2"	"2"	"1"
"57"	"59"	"45"	"0.7758620689655172"
"58"	"21"	"2"	"0.10526315789473684"
"59"	"50"	"8"	"0.19047619047619047"
"60"	"4"	"0"	"0"
"61"	"37"	"7"	"0.1891891891891892"
"62"	"17"	"11"	"0.6875"
"63"	"30"	"25"	"0.8620689655172413"
"64"	"102"	"34"	"0.33663366336633666"
"67"	"176"	"80"	"0.45454545454545453"
"69"	"18"	"8"	"0.4444444444444444"
"74"	"12"	"10"	"0.8333333333333334"
"75"	"144"	"115"	"0.7986111111111112"
"76"	"42"	"14"	"0.358974358974359"
"77"	"38"	"22"	"0.5789473684210527"
"78"	"18"	"13"	"0.7647058823529411"
"79"	"5"	"0"	"0"
"80"	"86"	"30"	"0.35294117647058826"
"81"	"112"	"64"	"0.5818181818181818"
"82"	"16"	"5"	"0.3125"
"83"	"20"	"2"	"0.1111111111111111"
